Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Office im Griff GmbH,,https://www.swissmadesoftware.org/en/companies/office-im-griff-gmbh/home.html,Swiss Made Software,1,Software,
Office Maker - Micro Consulting AG,,https://www.swissmadesoftware.org/en/companies/office-maker---micro-consulting-ag/home.html,Swiss Made Software,1,Software,
Office World Trade AG,8606 Nänikon,https://www.officeworldtrade.ch,Swico,1,ICT / consumer electronics,
Office Zug AG,6340 Baar,http://www.officezug.ch/,Swico,1,ICT / consumer electronics,
officeKonzept GmbH,Aargau,http://www.officekonzept.ch,swisscleantech,1,Cleantech / energy,"Baugewerbe / Immobilien, Beratung / Consulting"
OFFICINE DI GIACOPO SA,Riazzino,https://www.digiacopo.ch,Swissmem,1,Industry / engineering,
Offix Holding AG,4663 Aarburg,https://www.offix.ch/de/,Swico,1,ICT / consumer electronics,
Oftamedic,Canton of Geneva,https://www.oftamedic.com/,Swiss Medtech,1,Medical technology,
OGE Service Temporaire Sàrl,1870 Monthey,https://www.swissstaffing.ch/en/Members/index.php?id=15160,Swiss Staffing,1,Staffing / HR,
"OGI-Conseil, Othenin-Girard Sàrl",Aigle,,FINMA,1,Regulated financial services,Portfolio manager
OGIL GmbH,Bern,https://ogil.ch/,swisscleantech,1,Cleantech / energy,IT / Medien / Telekommunikation
Ohev Tech,,https://www.swissmadesoftware.org/en/companies/ohev-tech/home.html,Swiss Made Software,1,Software,
Ohnsorg Gebäudehülle AG,Cham,https://www.ohnsorg.ch/,Swissolar,1,Solar / energy,Riedstrasse 15
OHO Design GmbH,,https://www.swissmadesoftware.org/en/companies/oho-design-gmbh/home.html,Swiss Made Software,1,Software,
OIKEN Solutions SA,Sion,https://www.oiken.ch,Swissolar,1,Solar / energy,Rue de l'Industrie 43
Oikos Wealth Management GmbH,Oberweningen,,FINMA,1,Regulated financial services,Portfolio manager
OK4ME GmbH,Berg TG,https://www.ok4me.ch,Swissmem,1,Industry / engineering,
Okatis AG,Thurgau,https://www.swisscleantech.ch/mitglieder/okatis-ag/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Okey AG,Winterthur,https://www.okey.ch,Swissmem,1,Industry / engineering,
Okin AG,Canton of Obwalden,https://www.okin.ch/,Swiss Medtech,1,Medical technology,
ÖKK Versicherungen AG,Landquart,,FINMA,1,Regulated financial services,Health insurance company under ICA
ÖkoFEN Zentralschweiz,Buttisholz,https://www.oekofen.ch,Swissolar,1,Solar / energy,Fürtistrasse 14
ÖkoFEN-Schweiz GmbH,Menznau,https://www.oekofen.ch,Swissolar,1,Solar / energy,Rüdel 4
Ökozentrum,Basel-Landschaft,http://www.oekozentrum.ch,swisscleantech,1,Cleantech / energy,"Bildung / Wissenschaft, NGO / Nonprofit"
okto GmbH,,https://www.swissmadesoftware.org/en/companies/okto-gmbh/home.html,Swiss Made Software,1,Software,
Olivier Grivel Sàrl,Bevaix,https://www.oliviergrivel.ch,Swissolar,1,Solar / energy,Rue Eugène-de-Coulon 1
Olivier Joye Sàrl,Cugy,https://techniquedechauffe.ch,Swissolar,1,Solar / energy,imp du sécheron 17
Olymp AG,,https://www.swissmadesoftware.org/en/companies/olymp-ag/home.html,Swiss Made Software,1,Software,
Olympe SA,,https://www.swissmadesoftware.org/en/companies/olympe-sa/home.html,Swiss Made Software,1,Software,
Olympus Schweiz AG,Canton of Zurich,https://www.olympus.ch/,Swiss Medtech,1,Medical technology,
OLZ AG,Bern,,FINMA,1,Regulated financial services,Manager of collective assets
om computer support ag,Risch,https://www.swissmadesoftware.org/en/companies/om-computer-support-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
OM Pharma SA,Route de Bois-du-Lan 22 1217 Meyrin,https://www.ompharma.com,scienceindustries,1,Pharma / biotech / chemistry,
OM Pharma Suisse SA,Rte du Petit-Moncor 1D 1752 Villars-sur-Glâne,https://www.ompharma.com/products/swiss-product,scienceindustries,1,Pharma / biotech / chemistry,
om3 Marketing GmbH,8048 Zürich,https://om3.ch/,Swico,1,ICT / consumer electronics,
OMB Maschinenfabrik AG,Flawil,http://www.omb.ch/,Swissmechanic,1,Industry / SMEs,"OMB Maschinenfabrik AG, Glatthaldestrasse 20, 9230 Flawil"
OMEFID TREUHAND AG,Kilchberg ZH,,FINMA,1,Regulated financial services,Trustee
Omega Partners AG,Zug,,FINMA,1,Regulated financial services,Portfolio manager
OMEGA WEALTH MANAGEMENT SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Omneo AG,Horgen; Schlieren,https://omneo.ch,Swissolar,1,Solar / energy,Grabenstrasse 1; Spätzstrasse 33
Omnia Capital SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
omniEnergie gmbh,Stäfa,https://omnienergie.ch,Swissolar,1,Solar / energy,Grundstrasse 16
Omnium Capital Management Sàrl,Genève,,FINMA,1,Regulated financial services,Portfolio manager
OMNIUM REINSURANCE COMPANY SA,Genève 15 Aéroport,,FINMA,1,Regulated financial services,reinsurance captive
Omniwatt AG,Baar,https://www.omniwatt.ch,Swissolar,1,Solar / energy,Neuhofstrasse 12
Omya (Schweiz) AG,Baslerstrasse 42 4665 Oftringen,https://www.omya.ch,scienceindustries,1,Pharma / biotech / chemistry,
On AG,Zürich,https://www.on-running.com/de-ch,swisscleantech,1,Cleantech / energy,Produktion / Industrie
On Finance SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
On Informatik Service GmbH,Cham,https://www.swissmadesoftware.org/en/companies/on-informatik-service-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
ONAX AG - it solutions,Cazis,,swissICT,1,ICT / digital,
onboos GmbH,9032 Engelburg,https://onboos.com/,Swico,1,ICT / consumer electronics,
OncoMedical AG,Canton of Aargau,https://www.oncomedical.ch/,Swiss Medtech,1,Medical technology,
ONDA CONSULTANT SA,Melide,,FINMA,1,Regulated financial services,Portfolio manager
One Investments Sagl,Paradiso,,FINMA,1,Regulated financial services,Manager of collective assets
One Mental Hub,,https://www.swissmadesoftware.org/en/companies/one-mental-hub/home.html,Swiss Made Software,1,Software,
ONE PLACEMENT SA,1003 Lausanne; 1227 Carouge; 4055 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=15184,Swiss Staffing,1,Staffing / HR,
Oneconsult AG,Zürich,,digitalswitzerland; swissICT,2,Digital economy; ICT / digital,
OneDoc SA,,https://www.swissmadesoftware.org/en/companies/onedoc-sa/home.html,Swiss Made Software,1,Software,
OneSpan International GmbH,8050 Zürich,https://www.onespan.com/,Swico,1,ICT / consumer electronics,
ongoing GmbH,,https://www.swissmadesoftware.org/en/companies/ongoing-gmbh/home.html,Swiss Made Software,1,Software,
ONICS AG,Basel,,swissICT,1,ICT / digital,
Oniko AG,5430 Wettingen,https://www.swissstaffing.ch/en/Members/index.php?id=21647,Swiss Staffing,1,Staffing / HR,
Oniva AG,,https://www.swissmadesoftware.org/en/companies/oniva-ag/home.html,Swiss Made Software,1,Software,
Onlime GmbH,,https://www.swissmadesoftware.org/en/companies/onlime-gmbh/home.html,Swiss Made Software,1,Software,
Online Consulting AG,,https://www.swissmadesoftware.org/en/companies/online-consulting-ag/home.html,Swiss Made Software,1,Software,
onlineKarma AG,Basel-Stadt,https://www.onlinekarma.ch/,swisscleantech,1,Cleantech / energy,"Beratung / Consulting, Kommunikation / Marketing / Werbung; sonstige Dienstleistungen"
onlineKarma Digital Marketing,,https://www.swissmadesoftware.org/en/companies/onlinekarma-digital-marketing/home.html,Swiss Made Software,1,Software,
Onloan GmbH,8044 Zürich,https://www.onloan.ch/,Swico,1,ICT / consumer electronics,
onmit ag,8304 Wallisellen; Wallisellen,https://onmit.ch/,Swico; swissICT,2,ICT / consumer electronics; ICT / digital,
Onvest AG,Basel,,FINMA,1,Regulated financial services,Portfolio manager
onway ag,,https://www.swissmadesoftware.org/en/companies/onway-ag/home.html,Swiss Made Software,1,Software,
Onyx et Cie SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager; Trustee
Oosphère Sàrl,1227 Les Acacias,https://www.swissstaffing.ch/en/Members/index.php?id=41676,Swiss Staffing,1,Staffing / HR,
Opacc Laboratory AG,6023 Rothenburg,https://www.opacc.ch/,Swico,1,ICT / consumer electronics,
Opacc Software AG,6023 Rothenburg; Rothenburg,https://www.opacc.ch/,Swico; Swiss Made Software; swissICT,3,ICT / consumer electronics; ICT / digital; Software,
Opal Investment Services SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Opale Solutions sA,,https://www.swissmadesoftware.org/en/companies/opale-solutions-sa/home.html,Swiss Made Software,1,Software,
Opcos AG,Widnau,https://www.opcos.ch,Swissmem,1,Industry / engineering,
OPED AG,Canton of Zug,https://oped.ch/,Swiss Medtech,1,Medical technology,
Open Circle AG,8047 Zürich,https://www.open-circle.ch/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
Open Net Sàrl,,https://www.swissmadesoftware.org/en/companies/open-net-s-rl/home.html,Swiss Made Software,1,Software,
Open Partners Asset Management SA,Lugano,,FINMA,1,Regulated financial services,Portfolio manager
Open Systems,,https://www.swissmadesoftware.org/en/companies/open-systems/home.html,Swiss Made Software,1,Software,
openAI,,,digitalswitzerland,1,Digital economy,
openbyte GmbH,,https://www.swissmadesoftware.org/en/companies/openbyte-gmbh/home.html,Swiss Made Software,1,Software,
OpenCapital SA,Paradiso,,FINMA,1,Regulated financial services,Manager of collective assets
openconcept AG,,https://www.swissmadesoftware.org/en/companies/openconcept-ag/home.html,Swiss Made Software,1,Software,
OpenFunds Investment Services AG,Zürich,,FINMA,1,Regulated financial services,Representatives of foreign collective investment schemes (CISA)
OPENGIS.ch,,https://www.swissmadesoftware.org/en/companies/opengis.ch/home.html,Swiss Made Software,1,Software,
OPENLY AG,St. Gallen,https://www.openly.systems/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Opera Investment Partners AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Operaio GmbH,Zürich,https://www.swissmadesoftware.org/en/companies/operaio-gmbh/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
Operify GmbH,,https://www.swissmadesoftware.org/en/companies/operify-gmbh/home.html,Swiss Made Software,1,Software,
Öpfelfarm,Thurgau,https://www.oepfelfarm.ch/,swisscleantech,1,Cleantech / energy,Lebensmittelindustrie
Ops One AG,,https://www.swissmadesoftware.org/en/companies/ops-one-ag/home.html,Swiss Made Software,1,Software,
OPTEN AG,,https://www.swissmadesoftware.org/en/companies/opten-ag/home.html,Swiss Made Software,1,Software,
Optilase GmbH,Canton of Zug,https://www.optilase.ch/,Swiss Medtech,1,Medical technology,
Optima Medical AG,Canton of Zug,https://www.optimamedical.ch/,Swiss Medtech,1,Medical technology,
OptimalGo SA,Chavannes-de-Bogis,https://www.optimalgo.ch/,Swissolar,1,Solar / energy,Chemin du Poste 16b
Optimalway,Coppet,https://optimalway.ch,Swissolar,1,Solar / energy,Route Suisse 8F
optiMEAS Switzerland GmbH,,https://www.optimeas.ch/,Swissrail,1,Rail / transport technology,
Optimized Wealth Solutions AG,Oberwil-Lieli,,FINMA,1,Regulated financial services,Portfolio manager
OPTIML AG,,https://www.swissmadesoftware.org/en/companies/optiml-ag/home.html,Swiss Made Software,1,Software,
Optimus Family and Wealth Management AG,Freienbach,,FINMA,1,Regulated financial services,Portfolio manager
Option Consulting GmbH,5430 Wettingen,https://option.ch,Swico,1,ICT / consumer electronics,
Optiprint AG,Canton of St. Gallen,https://www.optiprint.ch/,Swiss Medtech,1,Medical technology,
optisizer ag,St. Gallen,https://www.swissmadesoftware.org/en/companies/optisizer-ag/home.html,Swiss Made Software; swisscleantech,2,Cleantech / energy; Software,Energiewirtschaft
Optisoft GmbH,,https://www.swissmadesoftware.org/en/companies/optisoft-gmbh/home.html,Swiss Made Software,1,Software,
Optive AG,Wängi,,swissICT,1,ICT / digital,
Optonet AG,,http://www.optonet.ch,asut,1,Telecom / digital infrastructure,
Optotune Switzerland AG,Dietikon,https://www.optotune.com,Swissmem,1,Industry / engineering,
Optrel Tec AG,Wattwil,https://www.optrel.com,Swissmem,1,Industry / engineering,
OPUS Emploi (VS) SA,1920 Martigny,https://www.swissstaffing.ch/en/Members/index.php?id=36416,Swiss Staffing,1,Staffing / HR,
Opus Emploi SA,3960 Sierre,https://www.swissstaffing.ch/en/Members/index.php?id=34056,Swiss Staffing,1,Staffing / HR,
OPUS Personal (Ost) AG,9434 Au SG,https://www.swissstaffing.ch/en/Members/index.php?id=35179,Swiss Staffing,1,Staffing / HR,
OPUS Personal (SG) AG,9500 Wil,https://www.swissstaffing.ch/en/Members/index.php?id=31929,Swiss Staffing,1,Staffing / HR,
OPUS Personal (SZ) AG,6430 Schwyz,https://www.swissstaffing.ch/en/Members/index.php?id=30569,Swiss Staffing,1,Staffing / HR,
Opus Personal AG,3000 Bern 13; 3900 Brig; 4800 Zofingen; 6300 Zug; 6460 Altdorf UR; 6500 Bellinzona,https://www.swissstaffing.ch/en/Members/index.php?id=34252,Swiss Staffing,1,Staffing / HR,
Oqema AG,Sternenfeldstrasse 14 4127 Birsfelden,https://www.oqema.ch,scienceindustries,1,Pharma / biotech / chemistry,
ORA Consulting,Canton of Schwyz,,Swiss Medtech,1,Medical technology,
Oracle Software (Schweiz) GmbH,8058 Zürich; Zürich,https://www.oracle.com/index.html,Swico; swissICT,2,ICT / consumer electronics; ICT / digital,
Orange Business Digital Switzerland AG,Ittigen,,swissICT,1,ICT / digital,
Orange Business Switzerland AG,,http://www.orange-business.com,asut,1,Telecom / digital infrastructure,
Orbis Consulting AG,Zürich,,FINMA,1,Regulated financial services,Trustee
ORCA Services AG,Pratteln,https://www.swissmadesoftware.org/en/companies/orca-services-ag/home.html,Swiss Made Software; swissICT,2,ICT / digital; Software,
ORCA Systems,,https://www.swissmadesoftware.org/en/companies/orca-systems/home.html,Swiss Made Software,1,Software,
ORDIA GESTION SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Orell Füssli,,,digitalswitzerland,1,Digital economy,
Organisation und Informatik Stadt Zürich OIZ,Zürich,,swissICT,1,ICT / digital,
ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF,Genève 3,,FINMA,1,Regulated financial services,Supervisory organisation
Organon GmbH,Weystrasse 20 6006 Luzern,https://,scienceindustries,1,Pharma / biotech / chemistry,
Organon International GmbH,Weystrasse 20 6006 Luzern,https://www.organon.com/switzerland/,scienceindustries,1,Pharma / biotech / chemistry,
Organon International Services GmbH,Weystrasse 20 6006 Luzern,https://,scienceindustries,1,Pharma / biotech / chemistry,
Oridis AG,4663 Aarburg,https://www.oridis.ch/,Swico,1,ICT / consumer electronics,
ORIEL CAPITAL SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Oriens Swiss Advisors AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
oriented.net GmbH,,https://www.swissmadesoftware.org/en/companies/oriented.net-gmbh/home.html,Swiss Made Software,1,Software,
Orif - Inégration et formation professionnelle - Vernier,Vernier,,Swissmechanic,1,Industry / SMEs,"Orif - Inégration et formation professionnelle - Vernier, Via Monnet 4, 1214 Vernier"
Orif Morges,Morges,https://www.orif.ch/,Swissmechanic,1,Industry / SMEs,"Orif Morges, Chemin de Bellevue 8, 1110 Morges"
originate GmbH,St. Gallen,https://originate.ch/,swisscleantech,1,Cleantech / energy,"Ingenieurwissenschaft, Maschinen- / Anlagebau"
OriginFood,,https://www.swissmadesoftware.org/en/companies/originfood/home.html,Swiss Made Software,1,Software,
OriginStamp AG,8280 Kreuzlingen,https://originstamp.com/,Swico; Swiss Made Software,2,ICT / consumer electronics; Software,
Orion Capital AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Orion Rechtsschutz-Versicherung AG,Basel,,FINMA,1,Regulated financial services,Non-life insurer
Orkanet Siworks AG,Inwil; Schindellegi,https://www.siworks.ch,Swissolar,1,Solar / energy,Chaltenbodenstrasse 6c; Hauptstrasse 22
Ormy Gestion SA,Flanthey,,FINMA,1,Regulated financial services,Portfolio manager
Oroxus Sàrl,Canton of Valais,https://www.physiodyna.com/,Swiss Medtech,1,Medical technology,
OrPha Swiss GmbH,Untere Heslibachstrasse 41a 8700 Küsnacht ZH,https://www.orphaswiss.com,scienceindustries,1,Pharma / biotech / chemistry,
ORPHIS,,https://www.swissmadesoftware.org/en/companies/orphis/home.html,Swiss Made Software,1,Software,
Ortho-Clinical Diagnostics,Canton of Zug,https://www.quidelortho.com/global/e,Swiss Medtech,1,Medical technology,
Orthopartner AG,Canton of Aargau,https://www.orthopartner.ch/,Swiss Medtech,1,Medical technology,
Orthos Advisory AG,Meggen,,FINMA,1,Regulated financial services,Portfolio manager
Orthosan AG,Canton of Bern,https://www.orthosan.ch/,Swiss Medtech,1,Medical technology,
OrthoSave GmbH,Canton of Zurich,https://orthosave.ch/,Swiss Medtech,1,Medical technology,
Orthotec,Canton of Lucerne,https://www.paraplegie.ch/orthotec/de,Swiss Medtech,1,Medical technology,
Orxys AG,,https://www.swissmadesoftware.org/en/companies/orxys-ag/home.html,Swiss Made Software,1,Software,
OSFINcontrol AG,Zug,,FINMA,1,Regulated financial services,Supervisory organisation
OSPEDALIA AG,Canton of Zug,https://www.ospedalia.ch/,Swiss Medtech,1,Medical technology,
Össur Schweiz AG,Canton of Solothurn,https://www.ossur.com/,Swiss Medtech,1,Medical technology,
OST - Ostschweizer Fachhochschule,Buchs; Canton of St. Gallen; Sankt Gallen; St. Gallen,https://www.ost.ch/medtechlab,Swiss Medtech; swisscleantech; swissICT; Swissmechanic,4,Cleantech / energy; ICT / digital; Industry / SMEs; Medical technology,"Abfallentsorgung / Recycling, Energiewirtschaft; OST - Ostschweizer Fachhochschule, Werdenbergstrasse 4, 9471 Buchs"
Ostendis,,https://www.swissmadesoftware.org/en/companies/ostendis/home.html,Swiss Made Software,1,Software,
Osterwalder Technology AG,Lyss,https://www.osterwalder.com,Swissmem,1,Industry / engineering,
"OTC Europe LLP, London, représentée par OTC Europe Sàrl",Genève,,FINMA,1,Regulated financial services,Foreign securities firm representative office
Otimon GmbH,,http://www.otimon.ch,Swissrail,1,Rail / transport technology,
Otovo Schweiz GmbH,Zürich,https://www.otovo.ch/de-ch/,Swissolar,1,Solar / energy,Limmatquai 4
OTP Organisation & Training Partners AG,4052 Basel,https://www.swissstaffing.ch/en/Members/index.php?id=41616,Swiss Staffing,1,Staffing / HR,
Otsuka Pharmaceutical (Switzerland) GmbH,Sägereistrasse 20 8152 Glattbrugg,https://www.otsuka-europe.com/ch/home,scienceindustries,1,Pharma / biotech / chemistry,
Ott + Wyss AG Fototechnik,4800 Zofingen,https://www.owy.ch/,Swico,1,ICT / consumer electronics,
Ott Metalldrückerei AG,Affeltrangen,http://www.ottmetall.ch/,Swissmechanic,1,Industry / SMEs,"Ott Metalldrückerei AG, Steinacker 15, 9556 Affeltrangen"
Otto Bock (Schweiz) AG,Canton of Lucerne,https://www.ottobock.ch/,Swiss Medtech,1,Medical technology,
Otto Fischer AG,Zürich,https://www.ottofischer.ch/de/,Swissolar,1,Solar / energy,Aargauerstrasse 2
Otto Hofstetter AG,Uznach,https://www.otto-hofstetter.ch,Swissmechanic; Swissmem,2,Industry / engineering; Industry / SMEs,"Otto Hofstetter AG, Zürcherstrasse 73, 8730 Uznach"
"Otto Männer Präzisionsformenbau, branch of Barnes Group Suisse Industries LLC",Canton of St. Gallen,https://www.maenner-group.com/,Swiss Medtech,1,Medical technology,
Otto Schoch AG,,https://www.schochag.ch/,Swissrail,1,Rail / transport technology,
Outcept Zambellis,,https://www.swissmadesoftware.org/en/companies/outcept-zambellis/home.html,Swiss Made Software,1,Software,
Outclean,Basel,https://outclean.ch,Swissolar,1,Solar / energy,Kleinhüningeranlage 84
Ovan Capital SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
OVD Kinegram AG,Zug,https://www.kinegram.com,Swissmem,1,Industry / engineering,
Oviva AG,Canton of Schwyz,https://oviva.com/ch,Swiss Medtech,1,Medical technology,
OWL Solutions SA,,https://www.swissmadesoftware.org/en/companies/owl-solutions-sa/home.html,Swiss Made Software,1,Software,
OWT (Swisscom Digital Technology SA),Waadt,https://www.owt.swiss/en/,swisscleantech,1,Cleantech / energy,Beratung / Consulting
OWWO GmbH,Liebefeld,https://owwosolar.ch,Swissolar,1,Solar / energy,Schwarzenburgstrasse 127
OXAM Gestion SA,Monthey,,FINMA,1,Regulated financial services,Portfolio manager
Oxara AG,Zürich,https://oxara.earth/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
oxidian GmbH,,https://www.swissmadesoftware.org/en/companies/oxidian-gmbh/home.html,Swiss Made Software,1,Software,
Oxoia AG,Aargau,https://oxoia.com/,swisscleantech,1,Cleantech / energy,Baugewerbe / Immobilien
Oyat Advisors GmbH,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
P & A Mauch / Medizintechnik – Kunststoffverarbeitung,Canton of Basel-Country,,Swiss Medtech,1,Medical technology,
P. Loher AG,Zuzwil,http://www.loherag.ch/,Swissmechanic,1,Industry / SMEs,"P. Loher AG, Ringstrasse 5, 9524 Zuzwil"
P/Card International AG,,https://www.swissmadesoftware.org/en/companies/pcard-international-ag/home.html,Swiss Made Software,1,Software,
P3 Engineering SA,Canton of Ticino,,Swiss Medtech,1,Medical technology,
p3b AG,Liebefeld,,swissICT,1,ICT / digital,
P4I Partners,Steinhausen,,swissICT,1,ICT / digital,
PackSys Global AG,Rüti ZH,https://www.packsysglobal.com,Swissmem,1,Industry / engineering,
Pädagogische Hochschule Bern PHBern,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Graubünden | Alta scuola pedagogica dei Grigioni | Scola auta da pedagogia dal Grischun PHGR,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Luzern PH Luzern,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Nordwestschweiz PH FHNW,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Schaffhausen PHSH,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Schwyz PHSZ,,,swissuniversities,1,Higher education,
Pädagogische Hochschule St. Gallen PHSG,,,swissuniversities,1,Higher education,
Pädagogische Hochschule St.Gallen,St. Gallen,,swissICT,1,ICT / digital,
Pädagogische Hochschule Thurgau PHTG,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Zug PH Zug,,,swissuniversities,1,Higher education,
Pädagogische Hochschule Zürich PH Zürich,,,swissuniversities,1,Higher education,
Paicolex Trust Management AG,Küsnacht ZH,,FINMA,1,Regulated financial services,Trustee
PAK Personal GmbH,9423 Altenrhein,https://www.swissstaffing.ch/en/Members/index.php?id=17046,Swiss Staffing,1,Staffing / HR,
"PAKA Hänni AG, Galvanotechnik",Canton of Solothurn,https://www.paka-haenni.ch/,Swiss Medtech,1,Medical technology,
Palantir,,,digitalswitzerland,1,Digital economy,
Palms Family Office Suisse SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Palo Alto SA,,https://www.swissmadesoftware.org/en/companies/palo-alto-sa/home.html,Swiss Made Software,1,Software,
Palomar Asset Management AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
PaLü Partner AG,Zug,,FINMA,1,Regulated financial services,Manager of collective assets
Pamasol Willi Mäder AG,Pfäffikon SZ,http://www.pamasol.com/,Swissmechanic,1,Industry / SMEs,"Pamasol Willi Mäder AG, Driesbüelstrasse 2, 8808 Pfäffikon SZ"
Panama Swiss Sàrl,1201 Genève,https://www.swissstaffing.ch/en/Members/index.php?id=37968,Swiss Staffing,1,Staffing / HR,
Panaqua AG,Adligenswil,https://www.panaqua.ch,Swissmem,1,Industry / engineering,
"Panasonic Connect Europe GmbH, Rotkreuz",6343 Rotkreuz,https://www.panasonic.com/ch,Swico,1,ICT / consumer electronics,
Panasonic Marketing Europe GmbH,6343 Rotkreuz,https://www.panasonic.com/ch/de/,Swico,1,ICT / consumer electronics,
Panatere SA,Saignelégier,,Swissmem,1,Industry / engineering,
"Pangerc, Schellenberg & Partner Asset Management AG",Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Panipro SA,,https://www.swissmadesoftware.org/en/companies/panipro-sa/home.html,Swiss Made Software,1,Software,
Panter AG,8005 Zürich; Zürich,https://www.panter.ch/,Swico; Swiss Made Software; swissICT,3,ICT / consumer electronics; ICT / digital; Software,
Panter Consulting Company Ltd,Zürich,,swissICT,1,ICT / digital,
Paoluzzo AG,Ipsach,https://www.paoluzzo.ch,Swiss Aerospace Cluster; Swissmechanic; Swissmem,3,Aerospace / engineering; Industry / engineering; Industry / SMEs,"Paoluzzo AG, Keltenstrasse 7, 2563 Ipsach"
Papedis AG,4663 Aarburg,https://www.papedis.ch/de/,Swico,1,ICT / consumer electronics,
Paprec Schweiz AG,Basel-Stadt,https://www.paprec.ch/,swisscleantech,1,Cleantech / energy,Finanz- und Versicherungsdienstleister
Parade Capital AG,Pfäffikon SZ,,FINMA,1,Regulated financial services,Portfolio manager
Paradigm Spine Switzerland AG,Canton of Thurgau,,Swiss Medtech,1,Medical technology,
PARALLEL Informatik AG,,https://www.swissmadesoftware.org/en/companies/parallel-informatik-ag/home.html,Swiss Made Software,1,Software,
Parametric GmbH,,http://www.parametric-sds.com,Swissrail,1,Rail / transport technology,
Parashift AG,,https://www.swissmadesoftware.org/en/companies/parashift-ag/home.html,Swiss Made Software,1,Software,
Parato | SwissDigiNet AG,Worblaufen,,swissICT,1,ICT / digital,
"Pareto Securities AS, Oslo, vertreten durch die Pareto Securities AG",Zürich,,FINMA,1,Regulated financial services,Foreign securities firm representative office
PARfinance SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
PARI Swiss AG,Canton of Zug,https://www.pari.com/,Swiss Medtech,1,Medical technology,
Parimed GmbH,Canton of Nidwalden,https://www.parimed.ch/,Swiss Medtech,1,Medical technology,
Pariter Services AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Parkdale Investments SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
Parkview AG,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
parm ag,,https://www.swissmadesoftware.org/en/companies/parm-ag/home.html,Swiss Made Software,1,Software,
Paro AG,Subingen,https://www.paro.ch,Swissmem,1,Industry / engineering,
Parsenn-Produkte AG,Canton of Graubünden,https://www.parsenn-produkte.ch/,Swiss Medtech,1,Medical technology,
Parsumo Capital AG,Zürich,,FINMA,1,Regulated financial services,Manager of collective assets
Partes AG,2563 Ipsach,https://www.partes.io/,Swico,1,ICT / consumer electronics,
PARTNAIRE SUISSE SA,1003 Lausanne,https://www.swissstaffing.ch/en/Members/index.php?id=39714,Swiss Staffing,1,Staffing / HR,
Partners Advisers SA,Genève,,FINMA,1,Regulated financial services,Manager of collective assets
Partners Capital Switzerland Sàrl,Zürich,,FINMA,1,Regulated financial services,Portfolio manager
Partners Group AG,Baar,,FINMA,1,Regulated financial services,Manager of collective assets
PARTRON ESL Sagl,6834 Morbio Inferiore,https://www.partronesl.com/,Swico,1,ICT / consumer electronics,
Pascal Dietrich Consulting SA,Mont-sur-Rolle,,swissICT,1,ICT / digital,
Pascal Investment Advisers SA,Nyon,,FINMA,1,Regulated financial services,Manager of collective assets
Passion4Data GmbH,,https://www.swissmadesoftware.org/en/companies/passion4data-gmbh/home.html,Swiss Made Software,1,Software,
Pastinella-Orior Food AG,Oberentfelden,https://pastinella.ch/de/,Swissmechanic,1,Industry / SMEs,"Pastinella-Orior Food AG, Industriestrasse 40, 5036 Oberentfelden"
Patagonia,Waadt,https://eu.patagonia.com/ch/de/home/,swisscleantech,1,Cleantech / energy,Detail- und Grosshandel
Path Invest Switzerland SA,Genève,,FINMA,1,Regulated financial services,Portfolio manager
